s[R,A,AB->AA,0(9),144,0,0,0,38758]
s[T,D,AA->AB,1(10),145,13,16,38772,38898]
s[R,A,AB->AA,0(9),145,0,0,0,38979]
s[T,D,AA->AB,1(10),146,3,16,38997,39113]
s[R,A,AB->AA,0(9),146,0,0,0,39194]
s[T,D,AA->AB,1(10),147,9,16,39207,39329]
s[R,A,AB->AA,0(9),147,0,0,0,39410]
s[T,D,AA->AB,1(10),148,1,16,39428,39542]
s[R,A,AB->AA,0(9),148,0,0,0,39623]
s[T,D,AA->AB,1(10),149,9,16,39639,39761]
s[R,A,AB->AA,0(9),149,0,0,0,39842]
s[T,D,AA->AB,1(10),150,11,16,39859,39983]
s[R,A,AB->AA,0(9),150,0,0,0,40064]
s[T,D,AA->AB,1(10),151,15,16,40078,40206]
s[R,A,AB->AA,0(9),151,0,0,0,40287]
s[T,D,AA->AB,1(10),152,0,16,40302,40415]
s[R,A,AB->AA,0(9),152,0,0,0,40496]
s[T,D,AA->AB,1(10),153,7,16,40510,40630]
s[R,A,AB->AA,0(9),153,0,0,0,40711]
s[T,D,AA->AB,1(10),154,5,16,40725,40844]
s[R,A,AB->AA,0(9),154,0,0,0,40925]
s[T,D,AA->AB,1(10),155,10,16,40941,41064]
s[R,A,AB->AA,0(9),155,0,0,0,41145]
s[T,D,AA->AB,1(10),156,7,16,41161,41281]
s[R,A,AB->AA,0(9),156,0,0,0,41362]
s[T,D,AA->AB,1(10),157,7,16,41376,41496]
s[R,A,AB->AA,0(9),157,0,0,0,41577]
s[T,D,AA->AB,1(10),158,6,16,41593,41712]
s[R,A,AB->AA,0(9),158,0,0,0,41793]
s[T,D,AA->AB,1(10),159,2,16,41808,41923]
s[R,A,AB->AA,0(9),159,0,0,0,42004]
s[T,D,AA->AB,1(10),160,2,16,42020,42135]
s[R,A,AB->AA,0(9),160,0,0,0,42216]
s[T,D,AA->AB,1(10),161,6,16,42232,42351]
s[R,A,AB->AA,0(9),161,0,0,0,42432]
s[T,D,AA->AB,1(10),162,7,16,42447,42567]
s[R,A,AB->AA,0(9),162,0,0,0,42648]
s[T,D,AA->AB,1(10),163,3,16,42663,42779]
s[R,A,AB->AA,0(9),163,0,0,0,42860]
s[T,D,AA->AB,1(10),164,7,16,42875,42995]
s[R,A,AB->AA,0(9),164,0,0,0,43076]
s[T,D,AA->AB,1(10),165,14,16,43091,43218]
s[R,A,AB->AA,0(9),165,0,0,0,43299]
s[T,D,AA->AB,1(10),166,4,16,43315,43432]
s[R,A,AB->AA,0(9),166,0,0,0,43513]
s[T,D,AA->AB,1(10),167,11,16,43526,43650]
s[R,A,AB->AA,0(9),167,0,0,0,43731]
s[T,D,AA->AB,1(10),168,2,16,43746,43861]
s[R,A,AB->AA,0(9),168,0,0,0,43942]
s[T,D,AA->AB,1(10),169,7,16,43958,44078]
s[R,A,AB->AA,0(9),169,0,0,0,44159]
s[T,D,AA->AB,1(10),170,3,16,44173,44289]
s[R,A,AB->AA,0(9),170,0,0,0,44370]
s[T,D,AA->AB,1(10),171,15,16,44385,44513]
s[R,A,AB->AA,0(9),171,0,0,0,44594]
s[T,D,AA->AB,1(10),172,12,16,44609,44734]
s[R,A,AB->AA,0(9),172,0,0,0,44815]
